CMDLINE C:\Users\asher\AppData\Local\Programs\Python\Python312\python.exe .\ej6_prac1.py
MEM 2.121094 1738778720.5860
MEM 12.308594 1738778720.6867
MEM 21.800781 1738778720.7874
MEM 27.734375 1738778720.8877
MEM 30.269531 1738778720.9882
MEM 35.566406 1738778721.0889
MEM 39.097656 1738778721.1892
MEM 42.335938 1738778721.2909
MEM 46.398438 1738778721.3913
MEM 50.269531 1738778721.4923
MEM 52.238281 1738778721.5929
MEM 59.363281 1738778721.6934
MEM 61.046875 1738778721.7940
MEM 103.304688 1738778721.8944
MEM 94.250000 1738778721.9953
MEM 72.250000 1738778722.0958
MEM 63.312500 1738778722.1966
MEM 430.148438 1738778722.2994
MEM 69.796875 1738778722.4003
MEM 164.734375 1738778722.5010
MEM 287.609375 1738778722.6018
MEM 404.859375 1738778722.7023
MEM 526.984375 1738778722.8027
MEM 649.046875 1738778722.9037
MEM 770.984375 1738778723.0042
MEM 893.628906 1738778723.1050
MEM 1014.441406 1738778723.2055
MEM 1133.753906 1738778723.3063
MEM 1255.753906 1738778723.4068
MEM 1377.816406 1738778723.5071
MEM 1500.816406 1738778723.6076
MEM 1705.226562 1738778723.7085
MEM 2117.539062 1738778723.8092
MEM 2419.691406 1738778723.9100
MEM 2706.253906 1738778724.0108
MEM 2969.566406 1738778724.1117
MEM 2395.382812 1738778724.2123
MEM 1649.265625 1738778724.3129
MEM 1769.390625 1738778724.4137
MEM 1884.140625 1738778724.5143
MEM 1992.640625 1738778724.6151
MEM 2107.640625 1738778724.7157
MEM 2212.390625 1738778724.8162
MEM 2295.328125 1738778724.9171
MEM 2352.242188 1738778725.0178
MEM 2383.902344 1738778725.1185
MEM 2440.339844 1738778725.2194
MEM 2498.339844 1738778725.3198
MEM 2539.089844 1738778725.4207
MEM 2588.714844 1738778725.5215
MEM 2646.714844 1738778725.6220
MEM 2706.964844 1738778725.7234
MEM 2765.527344 1738778725.8238
MEM 2814.964844 1738778725.9244
MEM 2872.839844 1738778726.0251
MEM 2921.152344 1738778726.1261
MEM 2964.839844 1738778726.2268
MEM 3001.464844 1738778726.3275
MEM 3035.152344 1738778726.4289
MEM 3067.527344 1738778726.5292
MEM 3100.027344 1738778726.6301
MEM 3218.750000 1738778726.7310
MEM 3429.250000 1738778726.8322
MEM 3652.988281 1738778726.9329
MEM 3863.812500 1738778727.0339
MEM 4072.375000 1738778727.1348
MEM 4267.937500 1738778727.2359
MEM 4484.687500 1738778727.3365
MEM 4578.062500 1738778727.4372
MEM 4406.125000 1738778727.5380
MEM 3930.730469 1738778727.6384
MEM 3007.488281 1738778727.7390
MEM 2230.519531 1738778727.8396
MEM 1380.519531 1738778727.9406
MEM 608.062500 1738778728.0416
MEM 63.476562 1738778728.1426
