CMDLINE C:\Users\asher\AppData\Local\Programs\Python\Python312\python.exe ej6_prac1.py
MEM 2.117188 1738781472.5250
MEM 12.890625 1738781472.6258
MEM 20.859375 1738781472.7268
MEM 27.039062 1738781472.8274
MEM 31.070312 1738781472.9277
MEM 36.117188 1738781473.0282
MEM 40.570312 1738781473.1290
MEM 44.753906 1738781473.2293
MEM 46.945312 1738781473.3304
MEM 51.097656 1738781473.4309
MEM 58.375000 1738781473.5316
MEM 61.156250 1738781473.6324
MEM 74.726562 1738781473.7329
MEM 65.722656 1738781473.8355
MEM 86.203125 1738781473.9360
MEM 159.347656 1738781474.0367
MEM 521.238281 1738781474.1377
MEM 100.273438 1738781474.2391
MEM 204.335938 1738781474.3396
MEM 326.273438 1738781474.4402
MEM 450.335938 1738781474.5408
MEM 567.488281 1738781474.6426
MEM 672.398438 1738781474.7433
MEM 794.523438 1738781474.8438
MEM 917.257812 1738781474.9444
MEM 1039.507812 1738781475.0449
MEM 1159.445312 1738781475.1453
MEM 1281.070312 1738781475.2459
MEM 1400.507812 1738781475.3463
MEM 1523.695312 1738781475.4471
MEM 1788.164062 1738781475.5476
MEM 2333.351562 1738781475.6712
MEM 2661.843750 1738781475.7721
MEM 2988.968750 1738781475.8728
MEM 1824.312500 1738781475.9737
MEM 1682.644531 1738781476.0744
MEM 1780.519531 1738781476.1750
MEM 1877.144531 1738781476.2757
MEM 1999.957031 1738781476.3764
MEM 2119.582031 1738781476.4769
MEM 2237.832031 1738781476.5781
MEM 2342.332031 1738781476.6786
MEM 2352.363281 1738781476.7789
MEM 2386.679688 1738781476.8794
MEM 2435.992188 1738781476.9800
MEM 2482.117188 1738781477.0806
MEM 2541.992188 1738781477.1818
MEM 2602.742188 1738781477.2823
MEM 2664.367188 1738781477.3830
MEM 2725.429688 1738781477.4835
MEM 2786.929688 1738781477.5841
MEM 2844.867188 1738781477.6848
MEM 2906.992188 1738781477.7862
MEM 2964.679688 1738781477.8878
MEM 3023.804688 1738781477.9891
MEM 3086.117188 1738781478.0906
MEM 3302.601562 1738781478.1917
MEM 3561.925781 1738781478.2922
MEM 3752.289062 1738781478.3933
MEM 3960.039062 1738781478.4941
MEM 4245.789062 1738781478.5952
MEM 4492.804688 1738781478.6963
MEM 4630.164062 1738781478.7966
MEM 3850.308594 1738781478.8974
MEM 2871.699219 1738781478.9979
MEM 1911.496094 1738781479.0984
MEM 1155.792969 1738781479.1994
MEM 285.855469 1738781479.2996
MEM 62.031250 1738781479.4001
