Codcom;Prov;Comarca;Tnat;Tmort;Pob2018;Dens2017;%Univ;Censo2016;Abs;%Abs;RendMedio;PIBCap
1501;C;Arzúa;4.64;14.64;16351;34.00;0.043;14549;4946;0.340;9811;14084
1502;C;Barbanza;7.03;10.60;66405;267.20;0.066;54862;17983;0.328;11316;16548
1503;C;A Barcala;5.22;13.17;10382;51.20;0.057;9025;2894;0.321;9958;12236
1504;C;Bergantiños;6.73;12.33;67173;90.70;0.043;58062;19832;0.342;9765;12582
1505;C;Betanzos;6.25;14.90;38011;57.20;0.077;32730;9582;0.293;11563;16287
1506;C;A Coruña;7.38;9.78;400995;848.50;0.171;323108;93850;0.290;16980;26017
1507;C;Eume;6.14;12.27;24639;45.50;0.102;21577;6787;0.315;16079;44215
1508;C;Ferrol;6.38;13.23;153581;244.00;0.113;131759;42911;0.326;14327;17036
1509;C;Fisterra;5.04;11.73;21631;65.70;0.055;19088;6443;0.338;10379;17558
1510;C;Muros;5.70;13.99;12726;91.00;0.051;11513;3948;0.343;10066;10870
1511;C;Noia;5.94;13.44;33312;102.60;0.060;28941;9427;0.326;10536;12627
1512;C;Ordes;7.29;12.28;36583;48.90;0.048;31312;9654;0.308;10409;22041
1513;C;Ortegal;4.57;18.28;12238;32.10;0.055;11464;3905;0.341;9524;13729
1514;C;Santiago;8.13;9.10;167142;243.80;0.203;134049;38761;0.289;16911;25871
1515;C;O Sar;6.63;12.51;15741;90.60;0.060;13824;3933;0.285;10954;19780
1516;C;Terra de Melide;3.90;14.40;12003;34.00;0.050;10714;3422;0.319;9060;13569
1517;C;Terra de Soneira;4.70;14.55;17041;48.10;0.036;15407;5840;0.379;8983;13222
1518;C;Xallas;5.47;14.15;13397;35.80;0.036;12031;4661;0.387;9164;15638
2701;LU;Os Ancares;4.63;23.86;10019;9.60;0.046;9528;3493;0.367;8106;11645
2702;LU;Chantada;4.96;18.92;13389;28.70;0.075;11867;3734;0.315;9569;16817
2703;LU;A Fonsagrada;2.71;25.90;5075;7.50;0.040;4881;1913;0.392;7937;13256
2704;LU;Lugo;7.87;12.29;118758;86.70;0.153;97873;30600;0.313;13784;21594
2705;LU;A Mariña Central;6.67;12.81;29149;59.10;0.082;23942;7401;0.309;11382;17660
2706;LU;A Mariña Occidental;4.93;14.25;25792;51.50;0.074;21809;6277;0.288;12588;30338
2707;LU;A Mariña Oriental;6.52;15.02;16245;40.50;0.087;13870;4266;0.308;10915;15833
2708;LU;Meira;5.49;22.73;5125;16.80;0.061;4720;1478;0.313;8383;19000
2709;LU;Quiroga;5.43;20.83;5245;9.50;0.051;4893;1353;0.277;9670;15384
2710;LU;Sarria;6.34;17.49;22735;27.20;0.059;20097;6557;0.326;9507;17900
2711;LU;Terra Chá;4.60;16.75;40336;22.20;0.048;36304;12666;0.349;9162;17706
2712;LU;Terra de Lemos;5.07;20.30;3037;32.40;0.077;26577;8067;0.304;10347;13366
2713;LU;A Ulloa;5.15;18.01;9089;22.20;0.059;8351;2528;0.303;8766;17373
3201;OU;Allariz-Maceda;5.62;17.92;14089;37.10;0.067;12417;3697;0.298;10411;12401
3202;OU;Baixa Limia;3.18;26.00;6782;13.50;0.043;6303;1651;0.262;8646;8640
3203;OU;O Carballiño;4.16;16.52;26576;48.60;0.070;23414;7247;0.310;9785;12223
3204;OU;A Limia;4.23;17.78;2034;25.70;0.047;18265;5427;0.297;9554;13589
3205;OU;Ourense;6.88;11.55;144004;227.00;0.143;119485;36469;0.305;14203;22298
3206;OU;O Ribeiro;3.36;19.13;15985;38.40;0.048;14732;4227;0.287;8979;11965
3207;OU;Terra de Caldelas;;33.85;2842;9.30;0.053;2863;826;0.289;8525;14844
3208;OU;Terra de Celanova;4.02;18.81;17433;35.90;0.046;16080;4702;0.292;8951;9604
3209;OU;Terra de Trives;3.37;20.92;4023;9.50;0.039;3808;1176;0.309;9144;20445
3210;OU;Valdeorras;5.08;16.38;25755;26.20;0.075;21783;6919;0.318;12458;20066
3211;OU;Verín;5.01;16.45;25653;25.60;0.049;21721;6275;0.289;9807;12321
3212;OU;Viana;3.27;17.21;5811;9.40;0.045;5185;1752;0.338;9465;15813
3601;PO;O Baixo Miño;7.07;10.32;49646;158.20;0.060;40858;12357;0.302;11554;12501
3602;PO;Caldas;7.43;11.38;34067;119.20;0.054;28943;9086;0.314;10770;13556
3603;PO;O Condado;7.25;10.31;41551;125.40;0.053;33660;10468;0.311;11489;10991
3604;PO;Deza;5.83;12.78;40063;41.70;0.061;34544;10437;0.302;10627;15054
3605;PO;O Morrazo;7.35;9.49;82445;581.30;0.074;68137;20355;0.299;13030;12789
3606;PO;A Paradanta;3.97;12.86;12259;46.60;0.036;11353;3444;0.303;9808;9003
3607;PO;Pontevedra;7.42;9.84;125032;200.00;0.137;100373;29401;0.293;15553;19318
3608;PO;O Salnés;7.04;9.92;109715;398.60;0.077;90398;26116;0.289;11534;16401
3609;PO;Tabeirós-Terra de Montes;6.57;13.47;24112;46.00;0.077;22821;7068;0.310;10569;11952
3610;PO;Vigo;7.74;9.43;422882;674.60;0.127;342071;97570;0.285;15806;22553
