     clase            sexo            edad       superviviente
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          hombre           niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    tercera          mujer            niño             no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
    primera          hombre          adulto            no
